Date,Open,High,Low,Close,Adj Close,Volume
2019-06-18,9128.26953125,9149.763671875,8988.6064453125,9062.0458984375,9062.0458984375,952850
2019-06-19,9068.1748046875,9277.677734375,9051.0947265625,9271.4599609375,9271.4599609375,131077
2019-06-20,9271.5673828125,9573.689453125,9209.4169921875,9519.2001953125,9519.2001953125,83052
2019-06-21,9526.833984375,10130.935546875,9526.833984375,10127.998046875,10127.998046875,76227
2019-06-22,10151.890625,11171.013671875,10083.189453125,10719.9814453125,10719.9814453125,84485
2019-06-23,10718.1171875,11293.7734375,10561.1240234375,11246.5185546875,11246.5185546875,52072
2019-06-24,11246.5185546875,11251.15625,10659.14453125,11010.517578125,11010.517578125,106205
2019-06-25,10999.7333984375,11676.888671875,10999.7333984375,11666.9658203125,11666.9658203125,95820
2019-06-26,11666.9658203125,13739.3291015625,11631.251953125,12827.6630859375,12827.6630859375,67574
2019-06-27,12827.6630859375,13022.9814453125,10452.1513671875,11136.2119140625,11136.2119140625,117404
2019-06-28,11152.9033203125,12430.3486328125,10863.2099609375,12398.671875,12398.671875,96399
2019-06-29,12409.884765625,12409.884765625,11521.609375,11915.46484375,11915.46484375,44215
2019-06-30,11905.12890625,12138.6005859375,10757.251953125,10757.251953125,10757.251953125,12704
2019-07-01,10757.251953125,11199.1416015625,10060.44140625,10538.94140625,10538.94140625,18800
2019-07-02,10546.2900390625,10895.9755859375,9631.0263671875,10840.748046875,10840.748046875,41470
2019-07-03,10841.888671875,11951.7666015625,10841.888671875,11940.806640625,11940.806640625,54592
2019-07-04,11940.2607421875,12001.2685546875,11174.3046875,11199.02734375,11199.02734375,6803
2019-07-05,11192.21484375,11417.396484375,10875.3779296875,10985.6025390625,10985.6025390625,32516
2019-07-06,10985.306640625,11614.435546875,10985.306640625,11230.970703125,11230.970703125,19273
2019-07-07,11230.369140625,12058.25,11162.3779296875,11592.7060546875,11592.7060546875,38151
2019-07-08,11593.509765625,12309.2314453125,11368.134765625,12256.126953125,12256.126953125,60043
2019-07-09,12259.25390625,12744.650390625,12235.33984375,12521.6328125,12521.6328125,59686
2019-07-10,12519.2880859375,13111.345703125,11714.1650390625,12133.44140625,12133.44140625,56542
2019-07-11,12134.4228515625,12134.4228515625,11194.4560546875,11660.2841796875,11660.2841796875,206567
2019-07-12,11663.8125,12320.4521484375,11339.5810546875,11652.4599609375,11652.4599609375,437704
2019-07-13,11651.4658203125,12209.8271484375,10979.837890625,11515.6640625,11515.6640625,842523
2019-07-14,11447.6455078125,11641.4892578125,10241.9130859375,10241.9130859375,10241.9130859375,414119
2019-07-15,10143.9716796875,11078.4111328125,9725.7919921875,10926.46484375,10926.46484375,431893
2019-07-16,10987.5576171875,12246.306640625,9673.83984375,9717.0380859375,9717.0380859375,485403
2019-07-17,9833.953125,10002.2060546875,9138.09375,9685.8837890625,9685.8837890625,444337
2019-07-18,9689.37109375,10660.923828125,9239.6025390625,10548.814453125,10548.814453125,321096
2019-07-19,10548.814453125,10825.875,10193.408203125,10572.6552734375,10572.6552734375,122121
2019-07-20,10597.6796875,11314.2138671875,10265.41796875,10913.607421875,10913.607421875,240565
2019-07-21,10913.607421875,11229.353515625,10204.16796875,10792.9912109375,10792.9912109375,145889
2019-07-22,10793.25390625,10975.2255859375,10195.4619140625,10556.0078125,10556.0078125,225410
2019-07-23,10555.6884765625,39504.62890625,8098.7900390625,9900.4453125,9900.4453125,367821
2019-07-24,9900.4453125,10894.75,9115.7041015625,9882.2607421875,9882.2607421875,81862
2019-07-25,9856.2109375,10546.2021484375,9635.5712890625,9840.3310546875,9840.3310546875,10967
2019-07-26,9812.7080078125,10003.7177734375,9641.31640625,9869.240234375,9869.240234375,11464
2019-07-27,9869.240234375,10722.1982421875,9854.7236328125,10295.5927734375,10295.5927734375,43797
2019-07-28,10295.5927734375,10814.2158203125,9866.9423828125,10002.8681640625,10002.8681640625,209195
2019-07-29,9998.833984375,10587.529296875,9647.9814453125,9950.451171875,9950.451171875,362786
2019-07-30,9825.2392578125,10064.1181640625,8893.6318359375,9578.966796875,9578.966796875,204983
2019-07-31,9567.248046875,10681.6865234375,9548.8525390625,10132.2978515625,10132.2978515625,100753
2019-08-01,10214.501953125,10549.6875,9411.796875,10457.677734375,10457.677734375,112061
2019-08-02,10519.310546875,13505.8056640625,9548.7763671875,10626.240234375,10626.240234375,186035
2019-08-03,10625.5234375,14391.3720703125,9896.265625,10860.224609375,10860.224609375,99920
2019-08-04,10781.0244140625,11855.05859375,10075.2197265625,10979.3984375,10979.3984375,56532
2019-08-05,10976.3544921875,14664.880859375,10792.6875,11939.71484375,11939.71484375,193825
2019-08-06,12116.7001953125,12516.666015625,11311.8291015625,11503.787109375,11503.787109375,114939
2019-08-07,11503.5380859375,17742.109375,11415.7685546875,15917.9130859375,15917.9130859375,84101
2019-08-08,15917.9130859375,21598.978515625,5282.19140625,11788.26171875,11788.26171875,122648
2019-08-09,11787.677734375,14115.88671875,10901.9228515625,12379.8291015625,12379.8291015625,84676
2019-08-10,12379.8291015625,12676.3837890625,11068.3662109375,11418.6533203125,11418.6533203125,104937
2019-08-11,11414.408203125,11917.9248046875,10714.9130859375,11251.1611328125,11251.1611328125,75153
2019-08-12,11062.529296875,13127.1650390625,2389.728515625,12075.470703125,12075.470703125,102306
2019-08-13,12156.3974609375,13020.619140625,3998.595703125,10857.9931640625,10857.9931640625,99478
2019-08-14,10882.4384765625,11251.541015625,9841.8828125,9952.6044921875,9952.6044921875,122763
2019-08-15,9952.6044921875,11244.59375,9609.75,10247.9970703125,10247.9970703125,99753
2019-08-16,10235.6298828125,11305.080078125,9334.9775390625,10775.947265625,10775.947265625,131836
2019-08-17,10778.51953125,11390.83984375,9853.9677734375,10009.873046875,10009.873046875,117695
2019-08-18,10126.11328125,10628.0859375,9767.427734375,10489.15625,10489.15625,109223
2019-08-19,10487.41796875,12331.6474609375,10128.1416015625,10930.5234375,10930.5234375,236087
2019-08-20,10930.5234375,11428.4111328125,10484.7265625,10783.76953125,10783.76953125,120318
2019-08-21,10768.205078125,10883.833984375,9776.0927734375,10151.1142578125,10151.1142578125,101019
2019-08-22,10150.478515625,10316.7236328125,9536.18359375,10144.3095703125,10144.3095703125,134613
2019-08-23,10144.3095703125,10675.7734375,10004.6171875,10360.1025390625,10360.1025390625,81395
2019-08-24,10359.984375,10562.4462890625,9842.9541015625,10238.9892578125,10238.9892578125,81784
2019-08-25,10238.9892578125,10569.1748046875,9780.955078125,10054.361328125,10054.361328125,88164
2019-08-26,10117.853515625,10601.9755859375,10080.1357421875,10296.4033203125,10296.4033203125,68691
2019-08-27,10331.4072265625,10478.8759765625,9960.2216796875,10252.1298828125,10252.1298828125,77026
2019-08-28,10285.2626953125,10573.5419921875,9370.9521484375,9861.8876953125,9861.8876953125,110958
2019-08-29,9929.46875,9953.7490234375,9330.376953125,9478.9912109375,9478.9912109375,77746
2019-08-30,9478.9912109375,9693.361328125,9334.9501953125,9617.591796875,9617.591796875,74174
2019-08-31,9616.8935546875,17129.646484375,9019.05078125,9608.0693359375,9608.0693359375,61470
2019-09-01,9604.25,9835.4130859375,9374.150390625,9795.5732421875,9795.5732421875,44728
2019-09-02,9793.107421875,10357.37890625,9674.5029296875,10249.19921875,10249.19921875,42389
2019-09-03,10245.83203125,11828.8916015625,10168.7734375,10581.5224609375,10581.5224609375,110189
2019-09-04,10591.9404296875,13212.154296875,8685.8779296875,10590.6708984375,10590.6708984375,121426
2019-09-05,10590.6708984375,10972.814453125,9778.759765625,10541.509765625,10541.509765625,136191
2019-09-06,10541.509765625,10932.421875,10152.4765625,10354.9775390625,10354.9775390625,75014
2019-09-07,10355.8603515625,24988.89453125,9937.5576171875,10549.333984375,10549.333984375,92337
2019-09-08,10549.240234375,28522.0546875,9768.2978515625,10523.2666015625,10523.2666015625,86251
2019-09-09,10523.2666015625,23715.880859375,9906.1171875,10218.6904296875,10218.6904296875,48365
2019-09-10,10218.5185546875,10592.4609375,9684.95703125,10097.7314453125,10097.7314453125,81990
2019-09-11,10097.7314453125,10353.494140625,9705.15625,10295.0078125,10295.0078125,139518
2019-09-12,10298.232421875,10728.21875,10072.0107421875,10322.748046875,10322.748046875,68029
2019-09-13,10324.1728515625,10486.2998046875,10024.8076171875,10287.69140625,10287.69140625,42727
2019-09-14,10285.517578125,10721.2294921875,10018.0009765625,10496.0146484375,10496.0146484375,54629
2019-09-15,10507.6298828125,10647.2626953125,9890.087890625,9910.72265625,9910.72265625,68731
2019-09-16,9904.1171875,10777.294921875,9893.65625,10223.873046875,10223.873046875,80637
2019-09-17,10232.2890625,10504.220703125,9877.857421875,10161.5234375,10161.5234375,70059
2019-09-18,10162.0703125,10444.2421875,9748.61328125,10173.55859375,10173.55859375,77722
2019-09-19,10175.111328125,10326.912109375,9584.74609375,10303.9130859375,10303.9130859375,43355
2019-09-20,10306.345703125,10322.7822265625,10135.6044921875,10193.314453125,10193.314453125,19208
2019-09-21,10192.5830078125,10205.744140625,9995.041015625,10020.2138671875,10020.2138671875,2463
2019-09-22,10018.513671875,10132.2529296875,9920.2060546875,10128.701171875,10128.701171875,6743
2019-09-23,10129.29296875,10129.29296875,9740.87890625,9740.87890625,9740.87890625,2068
2019-09-24,9743.0693359375,9814.8251953125,8328.578125,8585.49609375,8585.49609375,48829
2019-09-25,8584.533203125,8755.748046875,8356.9091796875,8483.083984375,8483.083984375,3897
2019-09-26,8480.3046875,8619.6455078125,7882.47314453125,8212.8037109375,8212.8037109375,5459
2019-09-27,8210.5859375,8221.654296875,7878.1826171875,8174.3828125,8174.3828125,22101
2019-09-28,8176.1904296875,8265.8017578125,8096.9716796875,8260.677734375,8260.677734375,3075
2019-09-29,8256.8896484375,8272.6953125,7967.54052734375,8090.72265625,8090.72265625,2642
2019-09-30,8090.72265625,8283.7548828125,7787.76171875,8258.8642578125,8258.8642578125,6902
2019-10-01,8259.306640625,8467.7041015625,8211.8876953125,8329.818359375,8329.818359375,5965
2019-10-02,8329.818359375,8378.974609375,8184.60595703125,8335.4287109375,8335.4287109375,5762
2019-10-03,8335.4287109375,8482.826171875,8139.08447265625,8226.517578125,8226.517578125,3785
2019-10-04,8226.9267578125,8228.1376953125,8119.14501953125,8189.69140625,8189.69140625,3683
2019-10-05,8189.69140625,8215.7841796875,7942.93701171875,8130.2412109375,8130.2412109375,5558
2019-10-06,8126.32421875,8213.646484375,7883.64453125,7913.16845703125,7913.16845703125,8623
2019-10-07,7908.0498046875,8284.296875,7850.505859375,8240.65625,8240.65625,2705
2019-10-08,8237.2783203125,8370.2548828125,7814.21484375,7890.69970703125,7890.69970703125,6646
2019-10-09,7890.69970703125,8801.177734375,7798.109375,8757.515625,8757.515625,7332
2019-10-10,8756.8037109375,8794.662109375,8471.2666015625,8607.5390625,8607.5390625,5495
2019-10-11,8614.0166015625,8650.19921875,8300.197265625,8304.580078125,8304.580078125,2790
2019-10-12,8302.98828125,8404.2119140625,8301.9677734375,8316.728515625,8316.728515625,3557
2019-10-13,8314.3251953125,8479.685546875,8279.4951171875,8347.3544921875,8347.3544921875,6122
2019-10-14,8347.3544921875,8405.685546875,8229.681640625,8373.19140625,8373.19140625,9037
2019-10-15,8359.4814453125,8414.662109375,8167.0087890625,8325.03515625,8325.03515625,9524
2019-10-16,8325.03515625,8331.0849609375,7158.66064453125,7972.93994140625,7972.93994140625,25886
2019-10-17,7969.50048828125,8118.3818359375,7921.17236328125,8101.39501953125,8101.39501953125,6045
