Model,Type,Features,Parameters,RMSE,MSE,MAE,MAPE,R2,Adjusted_R2,Time
GeneralizedLinearRegression,simple,all_features,"[25, 0]",5.619891850621264,31.583184412679298,4.452235815832394,0.00018495573572279212,0.9999941121225263,0.9999941074851851,6.54072380065918
GeneralizedLinearRegression,simple,most_corr_features,"[25, 0]",14.272961362998045,203.717426069635,11.358629724886,0.0004764341538911422,0.9999620220928872,0.9999619921811725,2.906667709350586
GeneralizedLinearRegression,simple,least_corr_features,"[25, 0]",21582.361768887495,465798339.5231366,19568.67118589281,0.8323850231148703,-85.83619468880482,-85.90458759614702,1.3515925407409668
GeneralizedLinearRegression,simple_norm,all_features,"[25, 0]",8741.37510427144,76411638.71357653,8491.009396272426,0.3541958381535421,-13.24499697146981,-13.25621644926304,2.1436028480529785
GeneralizedLinearRegression,simple_norm,most_corr_features,"[25, 0]",2307.790495528556,5325896.9712519385,1953.9092559538988,0.08354354540494024,0.00712263860447393,0.006340640157588506,2.438490390777588
GeneralizedLinearRegression,simple_norm,least_corr_features,"[25, 0]",8528.7147075613,72738974.56297241,7785.834542600426,0.3186139280404267,-12.56032261317358,-12.57100283576206,1.4630763530731201
GeneralizedLinearRegression,hyp_tuning,most_corr_features,"[5, 0, 'gaussian', 'log']",2623.0806824928263,6880552.26686703,2127.092085460994,0.08346137433483417,0.18809780394314157,0.1877222710124955,2.909404754638672
GeneralizedLinearRegression,multi_splits,most_corr_features,"[5, 0, 'gaussian', 'log']",12558.250448598214,270599008.36787987,11238.632350802221,0.7644676702194969,-5.753775621706959,-5.75471243171552,1.3228809356689453
GeneralizedLinearRegression,block_splits,most_corr_features,"[5, 0, 'gaussian', 'log']",3734.318523404484,21374305.711071502,3089.250738110258,0.22486057731566028,-14.399930393705954,-14.417754387217187,1.3335480213165283
GeneralizedLinearRegression,final_validated,most_corr_features,"[5, 0, 'gaussian', 'log']",2986.1090702713573,8916847.37955687,2407.861474104798,0.08743842171332522,-0.9765625338501376,-0.9780868751358831,1.4255995750427246
GeneralizedLinearRegression,final_trained,most_corr_features,"[5, 0, 'gaussian', 'log']",7587.597953215631,57571642.69964203,5819.351258020337,1.551994805298615,0.7838399338029741,0.7838349373456854,2.1226143836975098
