Model,Type,Features,Parameters,RMSE,MSE,MAE,MAPE,R2,Adjusted_R2,Time
LinearRegression,simple,all_features,"[100, 0.0, 0.0]",30.32449235146849,919.5748363742708,26.68745079586737,0.0011739695121980235,0.9999495306791195,0.9999495189927995,9.486909627914429
LinearRegression,simple,more_rel_features,"[100, 0.0, 0.0]",16.736955545087948,280.12568091825017,12.552692419143982,0.0005387455817821871,0.9999846257723484,0.9999846222124006,3.8679347038269043
LinearRegression,simple,less_rel_features,"[100, 0.0, 0.0]",60293.58261258456,3635316104.2605596,57204.5198884645,2.621113014940308,-198.51822049768006,-198.56441952990397,1.9729194641113281
LinearRegression,simple_norm,all_features,"[100, 0.0, 0.0]",9344.755084097398,87324447.58176416,7512.5000990592625,0.3138648645905027,-3.7926556832395217,-3.793765436793838,2.8971920013427734
LinearRegression,simple_norm,more_rel_features,"[100, 0.0, 0.0]",5336.759798240066,28481005.144111346,4464.3831775300805,0.22432956660605946,-0.5631321462468011,-0.5634940941040671,3.6380813121795654
LinearRegression,simple_norm,less_rel_features,"[100, 0.0, 0.0]",10232.878750776703,104711807.52809738,9195.005550399215,0.4090266445134887,-4.746931739613077,-4.7482624586018725,2.1133389472961426
LinearRegression,autotuning,more_rel_features,"[5, 0.2, 0.2]",2496.4790089859266,6232407.442307355,2124.046305459047,0.10388884724634588,0.6579447820649449,0.6578655781707025,0.34302592277526855
LinearRegression,multi_splits,more_rel_features,"[5, 0.2, 0.2]",10992.948424516175,283002480.44650817,9654.008222266468,0.39437486671016986,-2.2540792994392613,-2.2545313386084738,2.012786293029785
LinearRegression,block_splits,more_rel_features,"[5, 0.2, 0.2]",3900.041040416209,36124342.406132855,3594.753414658456,0.20456461438994628,-4.892797744184992,-4.899628653471142,0.9464380025863648
LinearRegression,final_validated,more_rel_features,"[5, 0.2, 0.2]",2496.4790089859266,6232407.442307355,2124.046305459047,0.10388884724634588,0.6579447820649449,0.6578655781707025,3.811129331588745
LinearRegression,final_trained,more_rel_features,"[5, 0.2, 0.2]",11562.924473109257,133701222.370829,9287.329091179181,3.2648519758656547,0.49840944534798914,0.49839783409714844,1.9159457683563232
