Model,Dataset,RMSE,MSE,MAE,MAPE,R2,Adjusted_R2,Time
LinearRegression,one_week,2727.7355485694793,7440541.222929638,2567.8817382892116,0.09349860185786138,-56.902597006704376,-57.42424202478279,0.0009443759918212891
GeneralizedLinearRegression,one_week,3122.767744112147,9751678.383667268,2799.7316889928497,0.10198937716034001,-74.88796119405839,-75.57163652013098,0.000164031982421875
RandomForestRegressor,one_week,529.1411164938473,279990.3211643553,372.9954240966598,0.013581015271637194,-1.1788961644612757,-1.1985258596366024,0.00012683868408203125
GBTRegressor,one_week,642.3421876463552,412603.4860303055,485.51386767855064,0.01762504974087097,-2.210897253219893,-2.239824255501153,0.0001430511474609375
LinearRegression,fifteen_days,2408.9251869576015,5802920.5563587155,2239.092951555032,0.0827912761545114,-14.915845671224846,-14.982439167757168,0.0001513957977294922
GeneralizedLinearRegression,fifteen_days,2955.457821685567,8734730.935762396,2714.640189532797,0.10070229714722165,-22.957010647152813,-23.057249185425423,0.0001392364501953125
RandomForestRegressor,fifteen_days,867.2512234375,752124.6845538407,660.6562581154666,0.024869634629510553,-1.062875114111352,-1.071506390739433,0.00013756752014160156
GBTRegressor,fifteen_days,704.5035460379298,496325.2463800175,549.8705736986436,0.020534682493377133,-0.36128626049532486,-0.3669820189074391,0.00012612342834472656
LinearRegression,one_month,2709.021967360695,7338800.0196428085,2407.0978005055103,0.08584137780643708,-1.739207739201328,-1.744741492209816,0.000148773193359375
GeneralizedLinearRegression,one_month,2956.5680875096396,8741294.856080407,2743.838284115957,0.09960609513508849,-2.26268905765627,-2.269280348681838,8.058547973632812e-05
RandomForestRegressor,one_month,1245.7272756615948,1551836.445327259,1008.0493794891837,0.036031889863994755,0.4207769131687009,0.4196067655185367,0.0001595020294189453
GBTRegressor,one_month,962.930880581862,927235.8807781601,816.6034243600764,0.02964888849397357,0.6539091276646728,0.6532099541852074,0.0001347064971923828
LinearRegression,three_months,3400.2567196863224,11561745.75977199,3142.65957409165,0.10780248938230082,-2.851975073215372,-2.8545942765743124,0.00012803077697753906
GeneralizedLinearRegression,three_months,3293.5839826991473,10847695.451092377,3019.9171258224883,0.10494498311308514,-2.6140781286530963,-2.6165355707170033,0.000133514404296875
RandomForestRegressor,three_months,1732.4345307764238,3001329.4034265275,1558.5766420463347,0.054000688617874236,6.051951661800725e-05,-0.0006194030675727991,0.0001513957977294922
GBTRegressor,three_months,1229.4967195753045,1511662.1834464348,1037.59967697541,0.036543845678784256,0.4963662780046443,0.49602382533782974,0.0001289844512939453
