Model,Features,Dataset,Accuracy
LinearRegression,most_rel_features,one_week,42.79346210995542
LinearRegression,most_rel_features,fifteen_days,53.29632199861207
LinearRegression,most_rel_features,one_month,40.0208261020479
LinearRegression,most_rel_features,three_months,42.391304347826086
GeneralizedLinearRegression,most_rel_features,one_week,42.79346210995542
GeneralizedLinearRegression,most_rel_features,fifteen_days,53.29632199861207
GeneralizedLinearRegression,most_rel_features,one_month,40.0208261020479
GeneralizedLinearRegression,most_rel_features,three_months,42.391304347826086
RandomForestRegressor,most_rel_features,one_week,78.30609212481427
RandomForestRegressor,most_rel_features,fifteen_days,64.26092990978486
RandomForestRegressor,most_rel_features,one_month,49.56612287400208
RandomForestRegressor,most_rel_features,three_months,43.91983695652174
GradientBoostingTreeRegressor,most_rel_features,one_week,58.84101040118871
GradientBoostingTreeRegressor,most_rel_features,fifteen_days,47.46703678001388
GradientBoostingTreeRegressor,most_rel_features,one_month,57.02880944116626
GradientBoostingTreeRegressor,most_rel_features,three_months,47.48641304347826
